text,polarity,subjectivity,sentiment_category
bookkeeping without annual fee considering cost figured price company trying enter market compete quickbooks ordered software open mind software installed easily everything straightforward demo video training video youtube rest come accounting knowledge regard knowing accountingi planning buying paper version accounting ledger since dont need anything super powerful yet found software im sure transition business transition llcim happy purchase thus far think quickbooks real competition similarity like quickbooks kind like mac pc use window concept,0.3641666666666667,0.746388888888889,Positive
need simple use basic bookkeeping,0.0,0.24107142857142858,Neutral
great idea bad execution hard load trust hour never NOT got running idea saving quickbooks sounded fantastic good trueturns doctor book keeper office manager couldnt get runningevery time software opened asks update choose account test accountimporting qb take free download patch something never NOT could get imported work withtried add another account see could use without data import lost basic set info worked get first placei realize might expectedbut info wiped quickly dont want itat point learned lesson quit,0.2101851851851852,0.5796296296296295,Positive
problem software poor support small business one parttime employee keep track needed inventory payroll invoicing come afford spend month one big boy bought one upgrade old bookkeeper website said latest included tax tablesthe box bought say version install find isthe installation failed transferring old data eventually totally remove program reinstall new one laboriously rebuild informationwhen started found tax table year would buy since bought march would think would support say version doesnt tax table version mentioned anywhere box buy table since paid two month ago seems excessivefor one part time employeecarrying made invoice customer paid right away invoice customer paid bookkeeper changed invoice gave customer creditwhere come checked rechecked figure even paying original invoice change figure try enter paymentstill waiting hear tech supportbut trying find work aroundif anyone know another bookkeeping system small business actually work full unpleasant surprise please let knowand way included help file generally useless section working doubt help button take topic beginning help introduction search joke funny one,-0.026642475171886938,0.49354469060351414,Negative
work great easy install set work great,0.6777777777777777,0.7777777777777778,Very Positive
print deposit slip sell deposit slip website program print themthat doesnt make sensewhy would buy deposit slip cant use questioned technical printing deposit slip answered program doest print asked selling deposit slip program wont print responseit really would excellent program printed deposit slip also program allow state tax need withheld di ui fl etc,0.39999999999999997,0.43333333333333335,Positive
going work fine little dubious software first tried set used peachtree accounting year quite different muddling liking still dont everything figured time little patience,0.058333333333333334,0.48666666666666664,Positive
tech support help line joke disk furnished open package said could download program alternatei unable download program socalled help line gave answer statement namely payment one dollar could get help seven day would new charge understand paid program still installed yet wanted additional payment total ripoffrobert gregory,-0.09090909090909091,0.5511363636363636,Negative
complicated simple bookeeping hoping ditch quickbooks accounting program appearance look like nailed good presentation boy mistaken trying figure simple billing customer information without going alot detail user friendly designed complicated review tutorial called support really wanted easy bookeeping system im qbooks pro user understand setting account program seemed like software engineer wrote bookeeping program never NOT field tested audience intended,0.08854166666666666,0.6059523809523809,Positive
still learning issue importing quickbooks downloaded excel made text file imported learning work dont use feature since hoa need invoice owner receive payment pay service look like capability need figure make work properly nearly software subscription based software look reasonable solution,0.15000000000000002,0.5,Positive
requires security turned window window longer support software requiring security turned software requires safety feature turned add email address company file get much beyond setting startup company due time information constraint user friendly software seen however money decent able tell time permit working software,0.22333333333333333,0.47333333333333333,Positive
wanted product looking need good book keeping program easy use one come manual except line want written manual reference needed without internet show profitloss statement happy general,0.49583333333333335,0.7333333333333334,Positive
complicated started learning way around seemed pretty straight forward help file built complicated user get around easily tech support alert,-0.023333333333333338,0.8466666666666667,Negative
unable set chart account set chart account account number previous dated software let set book help online,-0.3333333333333333,0.3333333333333333,Negative
